0.000000000000000000e+00	-5.849527261778675324e-01+0.000000000000000000e+00j
1.000000000000000000e+00	1.159639899810770203e+00+1.718594397959116661e-04j
2.000000000000000000e+00	1.159648818716638718e+00+3.538371289155813559e-04j
3.000000000000000000e+00	1.159657388614662388e+00+5.335589909281721489e-04j
4.000000000000000000e+00	1.159668561332473313e+00+7.127086582013946944e-04j
5.000000000000000000e+00	1.159682701564339169e+00+8.916202104873302342e-04j
6.000000000000000000e+00	1.159699900489867375e+00+1.070402834416328596e-03j
7.000000000000000000e+00	1.159720190648158455e+00+1.249101438886689652e-03j
8.000000000000000000e+00	1.159743586983565278e+00+1.427736853708612462e-03j
9.000000000000000000e+00	1.159770098084189405e+00+1.606319207194361210e-03j
1.000000000000000000e+01	1.159799729953798764e+00+1.784853283052685547e-03j
1.100000000000000000e+01	1.159832487530175760e+00+1.963340925766512979e-03j
1.200000000000000000e+01	1.159868375369036197e+00+2.141782371841512503e-03j
1.300000000000000000e+01	1.159907397863531031e+00+2.320176688613491498e-03j
1.400000000000000000e+01	1.159949559767563310e+00+2.498522433176281286e-03j
1.500000000000000000e+01	1.159994865326546831e+00+2.676817763986720847e-03j
1.600000000000000000e+01	1.160043320162870595e+00+2.855059959045790335e-03j
1.700000000000000000e+01	1.160094929322274648e+00+3.033247469885293202e-03j
1.800000000000000000e+01	1.160149697796585722e+00+3.211376838962141239e-03j
1.900000000000000000e+01	1.160207632465339200e+00+3.389445656700308760e-03j
2.000000000000000000e+01	1.160268739037242591e+00+3.567451655224860175e-03j
2.100000000000000000e+01	1.160333023847116340e+00+3.745391979678919844e-03j
2.200000000000000000e+01	1.160400491408863699e+00+3.923262557532672216e-03j
2.300000000000000000e+01	1.160471156910279911e+00+4.101061424611846147e-03j
2.400000000000000000e+01	1.160545015850113604e+00+4.278793158033894484e-03j
2.500000000000000000e+01	1.160622083203943111e+00+4.456433119003393173e-03j
2.600000000000000000e+01	1.160702379350296631e+00+4.634004141002430813e-03j
2.700000000000000000e+01	1.160785876072862877e+00+4.811497620745238714e-03j
2.800000000000000000e+01	1.160872620820609269e+00+4.988873483257871659e-03j
2.900000000000000000e+01	1.160962621584640919e+00+5.166201506142761857e-03j
3.000000000000000000e+01	1.161055855846610640e+00+5.343420382033783715e-03j
3.100000000000000000e+01	1.161152351736952859e+00+5.520556015174634366e-03j
3.200000000000000000e+01	1.161252120137406196e+00+5.697567067949870293e-03j
